full_name,title,company,country,linkedin_url,company_website,employee_count_estimate,growth_signal,people_process_signal,affordability_signal,linkedin_activity_signal,source_url,fit_score,segment,reason_to_contact,dnc_status,review_status,score_reasons,score_concerns,headline,industry,profile_location,provider_id
😄 Syed Ahmad Fuqaha Sd Agil,Founder / Managing Director,KATSANA Holdings,Malaysia,https://www.linkedin.com/in/fuqaha,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAv5vPwBKdZnoFdUwbOFaISsU5YPyZ8oN0I,NAME_SEARCH,g7CS",85,Malaysia / md_owner,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,⚡ KATSANA.com - Operational Visibility for Fleet Operations,,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAv5vPwBKdZnoFdUwbOFaISsU5YPyZ8oN0I
Zainol Zainuddin,Founder,ZZ Tech Consult,Malaysia,https://www.linkedin.com/in/zainol-zainuddin,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAJGgnYBiwC7qcMTcCYaC8IYP6g_wg2XrkU,NAME_SEARCH,Fvmj",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,2026 ONCON Top 50 Global Technology Professional | World CIO 200 | ASEAN CIO 100 | ETCIO South-East Asia 2024 Transformative CIO | APAC Top 100 CIO | Speaker | Mentor | Technology Strategist and Transformation Leader |,,Greater Kuala Lumpur,ACwAAAJGgnYBiwC7qcMTcCYaC8IYP6g_wg2XrkU
Yie Hahn Hwong,Director & Co-Founder,West Coast Swing Malaysia,Malaysia,https://www.linkedin.com/in/yiehahn,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAvcld0BuDlUQLljVZfTCz18NdlP98GtHIs,NAME_SEARCH,M1Y3",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Datadog Enterprise, Malaysia | 6x President’s Club | Working with platform, SRE, DevSecOps and engineering leaders on production confidence",,Malaysia,ACwAAAvcld0BuDlUQLljVZfTCz18NdlP98GtHIs
Yee Tieng Chew,"Co-Founder, Investor",SabaiHealth,Malaysia,https://www.linkedin.com/in/yee-tieng-chew,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAAXA8wB4qC-E-ISVrCW4QozR3e3FG3nUYo,NAME_SEARCH,ieC0",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Board Member | Value Builder | Investor | Corporate Strategist and Transformation Executive -  Sovereign Wealth Fund, Oil & Gas, Technology, Healthcare & FMCG",,Malaysia,ACwAAAAXA8wB4qC-E-ISVrCW4QozR3e3FG3nUYo
Yasser K.,CEO & Cofounder,Teel,Malaysia,https://www.linkedin.com/in/1yasser,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAADQtdgBNS0eQbY5eoPsRLAYpHwe7lWWyHk,NAME_SEARCH,ZyRO",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"CEO & Cofounder, Teel | Building treasury orchestration infrastructure for APAC cross-border payments | Ex-Stripe, HSBC, Citi, Deloitte",,Greater Kuala Lumpur,ACwAAADQtdgBNS0eQbY5eoPsRLAYpHwe7lWWyHk
XAVIER MAH,Founder & CEO ,Xavier Mah Consultancy Sdn. Bhd.,Malaysia,https://www.linkedin.com/in/xaviermah,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAXSM00BHcb6gTdftnOaEmxSW0Pox7WC8BU,NAME_SEARCH,VHSZ",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Cultural Legacy Architect | Advising founders and institutions on continuity, succession, and authority alignment.",,"WP. Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",ACwAAAXSM00BHcb6gTdftnOaEmxSW0Pox7WC8BU
Wilson Ten KPI King,"CEO of SandMerit, SandFil International",SandFil International,Malaysia,https://www.linkedin.com/in/wilsonten,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAADFTjIB_sQnjTdKEXdXWOgrtX4PfLV_ag8,NAME_SEARCH,p9FK",85,Malaysia / ceo,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,Founder & CEO of SandFil International | Chairman of International KPI Standards | The 'KPI King' of Malaysia | Helping Businesses Excel with Data-Driven KPI Solutions | Aspiring to Lead Southeast Asia in KPI Systems,,"Petaling Jaya, Selangor, Malaysia",ACwAAADFTjIB_sQnjTdKEXdXWOgrtX4PfLV_ag8
Umar Zakir Abdul Hamid,Co-Founder & Partner,Outrider Mobility,Malaysia,https://www.linkedin.com/in/umarzakir,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAB5mcf4B83NFIhmXRmOlraaOi85eWBzde5M,NAME_SEARCH,aO2q",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Global Strategy, Industrial Transformation & Sovereign-Tech Ecosystems | EU-ASEAN-China Growth | Ex-GEELY (ZEEKR EU, CEVT, PROTON International) | SAE Young Industry Leadership Award ’23 | TEDx Speaker | EMBA",,Greater Kuala Lumpur,ACwAAB5mcf4B83NFIhmXRmOlraaOi85eWBzde5M
Tushar Bhardwaj,Founder & CEO,Trana,Malaysia,https://www.linkedin.com/in/tushar-bhardwaj132,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAACxHhfUBKrL9MyYT5uz4ETIUNwdhqlk3N2o,NAME_SEARCH,v7Uw",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,"Founder & CEO @ Trana - Secure tomorrow, today.",,"Federal Territory of Kuala Lumpur, Malaysia",ACwAACxHhfUBKrL9MyYT5uz4ETIUNwdhqlk3N2o
Top Lim,CEO & Co-Founder,FinHero,Malaysia,https://www.linkedin.com/in/top-lim-3a38842b,,SalesNav filter 11-50 or 51-200. Manual check needed for 10-100 band.,growth_or_people_language_in_profile,manual review needed,industry and founder role suggest possible fit; revenue not verified,manual recent activity check needed,"https://www.linkedin.com/sales/lead/ACwAAAZbtSsBfq4sm9yORkMKQDRlfHyfr6l0OEY,NAME_SEARCH,9WFM",85,Malaysia / founder,"Founder led company in target size filter. Review for hiring, growth, or people process trigger before sending.",not checked against client DNC yet,READY_FOR_MANUAL_REVIEW,founder_or_senior_owner_title; growth_or_people_language_in_profile; linkedin_url_present,,FinHero - Digital Financial Services,,"Georgetown, Penang, Malaysia",ACwAAAZbtSsBfq4sm9yORkMKQDRlfHyfr6l0OEY
